date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:19	462190/462190	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2015:45:42%20GMT	https://rossfairgrieve.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.5	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/js_composer/assets/css/js_composer.min5243.css	(from https://rossfairgrieve.com/)
10:30:20	91352/91352	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/css/ut.vc.shortcodes.min.css?ver=4.5.2	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/css/ut.vc.shortcodes.min3428.css	(from https://rossfairgrieve.com/)
10:30:21	637/637	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Nov%202017%2009:52:03%20GMT	https://rossfairgrieve.com/wp-content/plugins/ut-twitter/css/ut.twitter.css?ver=4.9.8	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/ut-twitter/css/ut.twitter5010.css	(from https://rossfairgrieve.com/)
10:30:22	4636/4636	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Aug%202015%2016:52:33%20GMT	https://rossfairgrieve.com/wp-content/plugins/special-recent-posts/css/layout.css?ver=4.9.8	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/special-recent-posts/css/layout5010.css	(from https://rossfairgrieve.com/)
10:30:22	1743/1743	---MCZ	200	added ('OK')	text/css	date:Thu,%2026%20Jul%202018%2015:02:19%20GMT	https://rossfairgrieve.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/contact-form-7/includes/css/stylesaead.css	(from https://rossfairgrieve.com/)
10:30:23	30072/30072	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2015:45:09%20GMT	https://rossfairgrieve.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.6.3.1	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/plugins/revslider/public/assets/css/settings5f94.css	(from https://rossfairgrieve.com/)
10:30:25	2321/2321	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/css/ut-fontface.min.css?ver=4.9.8	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/css/ut-fontface.min5010.css	(from https://rossfairgrieve.com/)
10:30:25	30924/30924	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/css/font-awesome.min.css?ver=4.9.8	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/css/font-awesome.min5010.css	(from https://rossfairgrieve.com/)
10:30:26	964/964	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/css/ut-superfish.min.css?ver=4.9.8	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/css/ut-superfish.min5010.css	(from https://rossfairgrieve.com/)
10:30:28	191497/191497	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Jan%202018%2015:44:28%20GMT	https://rossfairgrieve.com/wp-content/themes/brooklyn/style.css?ver=4.5.3.3	C:/My%20Web%20Sites/camerasite/rossfairgrieve.com/wp-content/themes/brooklyn/styleef38.css	(from https://rossfairgrieve.com/)
